,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
14,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601364,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,,,,CHEMBL1909046,,,,CHEMBL1458880,CADMIUM DICHLORIDE,CHEMBL1458880,,False,,1539575,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
15,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601365,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,,,,CHEMBL1909046,,,,CHEMBL1458880,CADMIUM DICHLORIDE,CHEMBL1458880,,False,,1539575,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
16,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601491,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CCOC(=O)n1ccn(C)c1=S,,,CHEMBL1909046,,,,CHEMBL508102,CARBIMAZOLE,CHEMBL508102,,False,,1539585,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
17,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601492,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CCOC(=O)n1ccn(C)c1=S,,,CHEMBL1909046,,,,CHEMBL508102,CARBIMAZOLE,CHEMBL508102,,False,,1539585,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
18,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601635,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,,,CHEMBL1909046,,,,CHEMBL211501,ANTIMYCIN A,CHEMBL211501,,False,,1539503,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
19,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601636,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,,,CHEMBL1909046,,,,CHEMBL211501,ANTIMYCIN A,CHEMBL211501,,False,,1539503,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
20,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601834,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@H](C)N)CC[C@H]2N)[C@H](O)[C@@H]1N(C)C(=O)CN,,,CHEMBL1909046,,,,CHEMBL3084803,ASTROMICIN,CHEMBL3084803,,False,,1539511,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
21,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601835,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@H](C)N)CC[C@H]2N)[C@H](O)[C@@H]1N(C)C(=O)CN,,,CHEMBL1909046,,,,CHEMBL3084803,ASTROMICIN,CHEMBL3084803,,False,,1539511,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
22,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601954,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,,,CHEMBL1909046,,,,CHEMBL1095699,AZASERINE,CHEMBL1095699,,False,,1539519,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
23,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601955,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,,,CHEMBL1909046,,,,CHEMBL1095699,AZASERINE,CHEMBL1095699,,False,,1539519,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
24,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602097,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,NCC(CC(=O)O)c1ccc(Cl)cc1,,,CHEMBL1909046,,,,CHEMBL701,BACLOFEN,CHEMBL701,,False,,1539527,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
25,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602098,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,NCC(CC(=O)O)c1ccc(Cl)cc1,,,CHEMBL1909046,,,,CHEMBL701,BACLOFEN,CHEMBL701,,False,,1539527,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
26,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602213,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],,,CHEMBL1909046,,,,CHEMBL221753,BENZETHONIUM CHLORIDE,CHEMBL1182210,,False,,1539535,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
27,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602214,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],,,CHEMBL1909046,,,,CHEMBL221753,BENZETHONIUM CHLORIDE,CHEMBL1182210,,False,,1539535,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
28,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602294,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],,,CHEMBL1909046,,,,CHEMBL12089,BERBERINE CHLORIDE,CHEMBL295124,,False,,1539543,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
29,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602295,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],,,CHEMBL1909046,,,,CHEMBL12089,BERBERINE CHLORIDE,CHEMBL295124,,False,,1539543,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
30,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602960,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,C[N+](C)(C)CCOC(N)=O.[Cl-],,,CHEMBL1909046,,,,CHEMBL14,CARBACHOL,CHEMBL965,,False,,1539583,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
31,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7602961,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,C[N+](C)(C)CCOC(N)=O.[Cl-],,,CHEMBL1909046,,,,CHEMBL14,CARBACHOL,CHEMBL965,,False,,1539583,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
32,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604085,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,,,CHEMBL1909046,,,,CHEMBL1077,BROMFENAC,CHEMBL1077,,False,,1539560,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
33,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604086,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,,,CHEMBL1909046,,,,CHEMBL1077,BROMFENAC,CHEMBL1077,,False,,1539560,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
34,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604192,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,,,CHEMBL1909046,,,,CHEMBL894,BUPROPION,CHEMBL894,,False,,1539568,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
35,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604193,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,,,CHEMBL1909046,,,,CHEMBL894,BUPROPION,CHEMBL894,,False,,1539568,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
36,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604286,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,,,CHEMBL1909046,,,,CHEMBL319244,CAFFEIC ACID PHENETHYL ESTER,CHEMBL319244,,False,,1539576,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
37,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604287,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,,,CHEMBL1909046,,,,CHEMBL319244,CAFFEIC ACID PHENETHYL ESTER,CHEMBL319244,,False,,1539576,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
38,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604561,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,Cc1cc(=O)n(-c2ccccc2)n1C,,,CHEMBL1909046,,,,CHEMBL277474,ANTIPYRINE,CHEMBL277474,,False,,1539504,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
39,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604562,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,Cc1cc(=O)n(-c2ccccc2)n1C,,,CHEMBL1909046,,,,CHEMBL277474,ANTIPYRINE,CHEMBL277474,,False,,1539504,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
40,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604757,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,,,CHEMBL1909046,,,,CHEMBL24,ATENOLOL,CHEMBL24,,False,,1539512,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
41,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604758,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,,,CHEMBL1909046,,,,CHEMBL24,ATENOLOL,CHEMBL24,,False,,1539512,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
42,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604882,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CN1C(=O)COc2c(C(=O)NC3CN4CCC3CC4)cc(Cl)cc21,,,CHEMBL1909046,,,,CHEMBL1598608,AZASETRON,CHEMBL1598608,,False,,1539520,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
43,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7604883,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CN1C(=O)COc2c(C(=O)NC3CN4CCC3CC4)cc(Cl)cc21,,,CHEMBL1909046,,,,CHEMBL1598608,AZASETRON,CHEMBL1598608,,False,,1539520,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
